----,,,,,,
DateTime:        , 2021/12/20, 14:54:57,1.64003E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-103.66,,,,,
PARs:,0,0,0,0,0,0
Light:,80,0,0,0,0,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #10000,,,,,
Gain:,25,5, ,,,
Sio:,760.54,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,233.133,,
1,0.8,180.049,236.634,237.802,,
2,3.3,180.237,238.648,239.262,,
3,5.8,180.311,240.66,241.033,,
4,8.3,180.349,242.872,243.071,,
5,10.8,180.536,245.567,245.339,,
6,13.3,180.611,247.658,247.804,,
7,15.8,180.686,251.053,250.435,,
8,18.3,180.574,254.044,253.207,,
9,20.8,180.948,256.923,256.1,,
10,23.3,180.873,259.971,259.093,,
11,25.8,180.986,263.257,262.168,,
12,28.3,181.06,266.086,265.311,,
13,30.8,180.948,269.413,268.506,,
14,33.3,181.173,272.059,271.745,,
15,35.8,180.986,275.567,275.014,,
16,38.3,180.948,278.719,278.305,,
17,40.8,181.06,281.529,281.61,,
18,43.3,181.21,284.32,284.923,,
19,45.8,181.098,287.655,288.236,,
20,48.3,181.323,290.431,291.544,,
21,50.8,181.135,294.022,294.842,,
22,53.3,181.323,297.49,298.125,,
23,55.8,181.323,300.491,301.39,,
24,58.3,181.21,304.385,304.632,,
25,60.8,181.472,306.877,307.849,,
26,63.3,181.323,310.55,311.037,,
27,65.8,181.36,313.287,314.194,,
28,68.3,181.51,316.29,317.319,,
29,70.8,181.36,319.771,320.408,,
30,73.3,181.472,322.703,323.46,,
31,75.8,181.435,326.077,326.472,,
32,78.3,181.398,328.812,329.445,,
33,80.8,181.585,331.733,332.376,,
34,83.3,181.285,335.172,335.263,,
35,85.8,181.697,337.472,338.108,,
36,88.3,181.435,340.87,340.907,,
37,90.8,181.435,344.067,343.661,,
38,93.3,181.51,346.415,346.369,,
39,95.8,181.248,349.498,349.029,,
40,98.3,181.472,351.622,351.641,,
41,100.8,181.51,354.084,354.207,,
42,103.3,181.547,356.809,356.724,,
43,105.8,181.435,359.411,359.193,,
44,108.3,181.51,362.15,361.613,,
45,110.8,181.622,364.128,363.985,,
46,113.3,181.547,366.746,366.309,,
47,115.8,181.585,368.675,368.584,,
48,118.3,181.547,371.108,370.81,,
49,120.8,181.547,373.29,372.988,,
50,123.3,181.735,375.238,375.118,,
51,125.8,181.585,377.464,377.2,,
52,128.3,181.547,379.767,379.234,,
53,130.8,181.772,380.948,381.221,,
54,133.3,181.435,383.993,383.16,,
55,135.8,181.622,385.139,385.053,,
56,138.3,181.66,386.843,386.899,,
57,140.8,181.735,388.906,388.699,,
58,143.3,181.585,390.967,390.454,,
59,145.8,181.585,392.553,392.164,,
60,148.3,181.697,393.632,393.829,,
61,150.8,181.622,395.688,395.451,,
62,153.3,181.547,397.261,397.029,,
63,155.8,181.622,398.661,398.564,,
64,158.3,181.547,400.17,400.057,,
65,160.8,181.585,401.541,401.508,,
66,163.3,181.622,402.846,402.918,,
67,165.8,181.622,404.365,404.288,,
68,168.3,181.772,405.22,405.619,,
69,170.8,181.697,406.488,406.91,,
70,173.3,181.585,407.995,408.164,,
71,175.8,181.66,408.884,409.38,,
72,178.3,181.697,410.099,410.559,,
73,180.8,181.66,411.438,411.702,,
74,183.3,181.66,412.385,412.81,,
75,185.8,181.622,413.571,413.883,,
76,188.3,181.547,414.91,414.922,,
77,190.8,181.51,415.855,415.928,,
78,193.3,181.622,416.699,416.9,,
79,195.8,181.585,417.776,417.841,,
80,198.3,181.622,418.593,418.751,,
81,200.8,181.547,419.867,419.63,,
82,203.3,181.697,420.115,420.479,,
83,205.8,181.66,420.862,421.299,,
84,208.3,181.622,421.874,422.091,,
85,210.8,181.51,422.995,422.856,,
86,213.3,181.585,423.151,423.593,,
87,215.8,181.735,423.792,424.303,,
88,218.3,181.66,424.584,424.988,,
89,220.8,181.585,425.596,425.648,,
90,223.3,181.66,425.905,426.283,,
91,225.8,181.547,427.116,426.896,,
92,228.3,181.735,427.072,427.484,,
93,230.8,181.847,427.688,428.049,,
94,233.3,181.66,428.481,428.593,,
95,235.8,181.585,428.944,429.117,,
96,238.3,181.66,429.626,429.619,,
97,240.8,181.622,430.067,430.101,,
98,243.3,181.66,430.837,430.563,,
99,245.8,181.435,431.966,431.007,,
100,250.8,181.098,431.997,432.553,,
