----,
DateTime:        , 2021/12/20, 15:47:56, 1640029676165,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,         -129.56,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #00001,
Gain:,             25,       5, 
Sio:,    168.68,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    876.478,
    1,        0.8,     90.586,     912.414,    930.702,
    2,        3.3,     90.970,     924.883,    932.426,
    3,        5.8,     90.202,     937.404,    942.580,
    4,        8.3,     89.435,     958.866,    958.034,
    5,       10.8,     89.205,     977.349,    976.596,
    6,       13.3,     89.128,     995.873,    996.888,
    7,       15.8,     88.744,    1017.488,   1018.070,
    8,       18.3,     88.360,    1038.566,   1039.499,
    9,       20.8,     88.053,    1057.450,   1060.733,
   10,       23.3,     87.593,    1078.125,   1081.528,
   11,       25.8,     86.825,    1101.798,   1101.749,
   12,       28.3,     86.442,    1121.636,   1121.155,
   13,       30.8,     86.135,    1140.819,   1139.677,
   14,       33.3,     85.981,    1157.231,   1157.267,
   15,       35.8,     85.597,    1176.391,   1173.997,
   16,       38.3,     85.290,    1192.678,   1189.844,
   17,       40.8,     84.830,    1209.809,   1204.865,
   18,       43.3,     84.907,    1219.080,   1218.920,
   19,       45.8,     84.523,    1232.849,   1232.219,
   20,       48.3,     84.216,    1245.893,   1244.746,
   21,       50.8,     84.139,    1254.731,   1256.463,
   22,       53.3,     83.602,    1269.827,   1267.563,
   23,       55.8,     83.141,    1283.933,   1278.015,
   24,       58.3,     83.295,    1287.233,   1287.649,
   25,       60.8,     82.758,    1301.922,   1296.780,
   26,       63.3,     82.758,    1307.190,   1305.227,
   27,       65.8,     82.758,    1312.023,   1313.062,
   28,       68.3,     82.451,    1320.596,   1320.443,
