DataPt,      Time(us),   EX,         EM,       Fit
0,0,0,0,417.03
1,0.8,260.275,444.881,439.837
2,3.3,270.144,450.492,452.677
3,5.8,269.516,455.91,465.474
4,8.3,269.426,469.706,478.091
5,10.8,269.202,483.886,490.379
6,13.3,269.247,497.548,502.23
7,15.8,269.157,510.866,513.539
8,18.3,269.023,523.284,524.229
9,20.8,268.754,534.658,534.243
10,23.3,268.754,545.27,543.556
11,25.8,268.305,555.067,552.142
12,28.3,268.125,564.434,560.01
13,30.8,268.215,571.389,567.179
14,33.3,267.856,578.023,573.665
15,35.8,267.587,583.298,579.506
16,38.3,267.632,586.877,584.743
17,40.8,267.497,590.866,589.416
18,43.3,267.408,593.488,593.569
19,45.8,267.094,596.522,597.247
20,48.3,267.049,598.449,600.493
21,50.8,266.914,601.179,603.35
22,53.3,267.049,602.359,605.856
23,55.8,266.735,604.837,608.049
24,58.3,266.555,606.43,609.965
25,60.8,266.421,607.772,611.634
26,63.3,266.196,609.201,613.085
27,65.8,266.241,610.135,614.343
28,68.3,265.972,611.474,615.433
29,70.8,266.062,611.794,616.372
30,73.3,265.748,613.586,617.183
31,75.8,265.793,613.784,617.879
32,78.3,265.613,614.906,618.476
33,80.8,265.658,615.058,618.984
34,83.3,265.479,615.911,619.418
35,85.8,265.434,616.346,619.786
36,88.3,265.299,617.096,620.096
37,90.8,265.299,617.277,620.356
38,93.3,265.12,617.876,620.573
39,95.8,264.985,618.477,620.753
40,98.3,264.895,618.52,620.9
41,100.8,264.761,619.182,621.019
42,103.3,264.985,618.794,621.11
43,105.8,264.492,620.084,621.185
44,108.3,264.537,620.07,621.239
45,110.8,264.581,620.101,621.276
46,113.3,264.492,620.039,621.298
47,115.8,264.357,620.415,621.309
48,118.3,264.447,620.129,621.308
49,120.8,264.178,620.912,621.3
50,123.3,263.953,621.288,621.286
51,125.8,264.088,620.972,621.262
52,128.3,263.909,621.076,621.233
53,130.8,263.953,621.107,621.198
54,133.3,263.864,621.136,621.158
55,135.8,263.819,620.999,621.114
56,138.3,263.684,621.619,621.068
57,140.8,263.684,621.134,621.017
58,143.3,263.55,621.345,620.965
59,145.8,263.55,621.178,620.909
60,148.3,263.55,621.147,620.851
61,150.8,263.46,621.071,620.791
62,153.3,263.55,620.768,620.728
63,155.8,263.595,620.313,620.662
64,158.3,263.46,620.585,620.597
65,160.8,263.28,620.765,620.532
66,163.3,263.011,621.339,620.469
67,165.8,263.056,620.883,620.404
68,168.3,262.966,620.761,620.338
69,170.8,263.011,620.67,620.27
70,173.3,262.966,620.578,620.202
71,175.8,262.832,620.896,620.134
72,178.3,262.742,620.666,620.066
73,180.8,262.563,620.786,619.999
74,183.3,262.563,620.496,619.93
75,185.8,262.563,620.512,619.861
76,188.3,262.473,620.236,619.792
77,190.8,262.608,619.979,619.719
78,193.3,262.383,620.036,619.649
79,195.8,262.383,619.732,619.578
80,198.3,262.159,620.063,619.509
81,200.8,262.383,619.289,619.435
82,203.3,262.159,619.697,619.365
83,205.8,262.069,619.497,619.294
84,208.3,261.979,619.755,619.224
85,210.8,262.069,618.948,619.151
86,213.3,261.935,619.113,619.08
87,215.8,261.8,619.049,619.009
88,218.3,261.979,618.58,618.935
89,220.8,261.8,618.423,618.863
90,223.3,261.935,617.876,618.788
91,225.8,261.531,618.448,618.718
92,228.3,261.755,617.582,618.644
93,230.8,261.665,617.595,618.571
94,233.3,261.441,617.528,618.5
95,235.8,261.351,617.755,618.43
96,238.3,261.262,617.615,618.36
97,240.8,261.307,617.279,618.288
98,243.3,261.082,617.427,618.219
99,245.8,261.127,617.076,618.147
100,250.8,261.037,620.552,621.492
101,273.3,261.217,628.18,634.625
102,295.8,261.854,627.965,635.227
103,318.3,262.532,626.609,632.543
104,343.3,262.404,626.396,629.013
105,368.3,262.554,625.122,625.864
106,395.8,262.562,624.642,622.956
107,423.3,262.619,623.546,620.682
108,453.3,262.987,621.314,618.619
109,483.3,263.077,619.711,617.052
110,515.8,263.442,617.632,615.574
111,550.8,263.447,616.606,614.082
112,585.8,263.81,614.161,612.943
113,623.3,263.682,612.843,611.788
114,663.3,263.731,611.764,610.538
115,705.8,263.78,610.336,609.199
116,748.3,263.965,608.583,608.151
117,793.3,263.967,607.313,607.017
118,840.8,264.19,605.564,605.751
119,890.8,264.193,604.142,604.369
120,943.3,263.925,603.185,602.882
121,998.3,264.066,601.623,601.307
122,1055.8,264.091,600.008,599.658
123,1115.8,264.149,598.334,597.943
124,1178.3,264.569,595.927,596.177
125,1245.8,264.179,594.981,594.009
126,1315.8,264.541,592.474,591.863
127,1388.3,264.719,590.264,589.749
128,1465.8,264.543,588.515,587.315
129,1545.8,264.627,586.212,584.96
130,1630.8,264.895,583.985,582.358
131,1720.8,264.624,582.18,579.566
132,1815.8,264.628,579.042,576.642
133,1913.3,264.764,576.404,573.932
134,2015.8,264.991,573.631,571.095
135,2123.3,265.035,570.399,568.179
136,2238.3,265.076,566.916,564.951
137,2358.3,265.121,563.064,561.791
138,2483.3,265.388,558.999,558.699
139,2615.8,265.524,555.677,555.43
140,2753.3,265.576,551.95,552.303
141,2898.3,265.627,548.272,549.071
142,3050.8,265.669,544.731,545.805
143,3210.8,265.716,541.02,542.554
144,3378.3,265.718,537.848,539.347
145,3555.8,265.804,534.341,536.025
146,3740.8,265.76,531.58,532.854
147,3935.8,266.211,527.368,529.664
148,4140.8,266.522,523.463,526.519
149,4355.8,266.3,521.12,523.433
150,4580.8,266.164,518.728,520.437
151,4818.3,266.478,515.337,517.434
152,5068.3,266.523,512.424,514.482
153,5330.8,266.385,510.738,511.612
154,5605.8,266.471,508.089,508.859
155,5895.8,266.467,505.71,506.13
156,6200.8,266.642,503.127,503.488
157,6520.8,266.546,500.574,500.952
158,6855.8,266.597,498.41,498.546
159,7208.3,266.639,496.889,496.197
160,7578.3,266.772,493.97,493.95
161,7965.8,266.762,492.088,491.818
162,8373.3,266.941,490.41,489.751
163,8800.8,266.899,488.844,487.772
164,9250.8,267.167,485.98,485.853
165,9723.3,267.03,484.629,484.007
166,10220.8,266.902,483.137,482.204
167,10743.3,267.028,481.269,480.49
168,11290.8,267.1,479.57,478.872
169,11865.8,267.14,478.081,477.313
170,12470.8,266.872,476.737,475.781
171,13105.8,266.979,474.969,474.324
172,13773.3,266.93,473.768,472.909
173,14475.8,267.154,472.122,471.539
174,15213.3,267.004,470.842,470.216
175,15988.3,266.922,469.352,468.933
176,16800.8,266.779,468.041,467.705
177,17655.8,266.79,467.067,466.498
178,18553.3,266.744,465.636,465.333
179,19495.8,266.893,464.746,464.211
180,20485.8,267.147,462.963,463.126
181,21525.8,266.714,462.095,462.041
182,22618.3,266.548,461.063,460.984
183,23768.3,266.569,459.583,459.945
184,24975.8,266.537,459.038,458.945
185,26243.3,266.778,456.892,457.99
186,27575.8,266.473,457.289,457.032
187,28975.8,266.458,455.449,456.107
188,30445.8,266.529,454.275,455.217
189,31990.8,266.208,454.14,454.332
190,33613.3,266.374,452.552,453.495
191,35318.3,266.535,451.81,452.686
192,37108.3,266.386,451.353,451.896
193,38990.8,266.357,450.561,451.128
194,40968.3,266.401,449.3,450.396
195,43045.8,265.731,449.843,449.662
196,45228.3,265.712,448.581,448.981
197,47520.8,265.901,448.249,448.346
198,49928.3,265.991,446.76,447.742
199,52458.3,266.023,446.439,447.163
200,55115.8,265.745,445.996,446.603
201,57908.3,265.742,445.63,446.083
202,60843.3,265.459,446.015,445.581
203,63925.8,265.247,445.449,445.116
204,67163.3,265.435,444.905,444.699
205,70565.8,265.485,444.192,444.307
206,74140.8,265.477,443.844,443.94
207,77895.8,265.171,443.99,443.589
208,81840.8,264.97,443.836,443.268
209,85985.8,264.956,443.51,442.981
210,90340.8,265.113,443.013,442.727
211,94915.8,265.106,442.762,442.489
212,99723.3,264.757,443.159,442.255
213,104773.3,264.918,442.485,442.065
214,110078.3,264.722,442.636,441.878
215,115653.3,264.262,443.091,441.695
216,121508.3,264.375,443.153,441.554
217,127660.8,264.849,441.839,441.444
218,134125.8,264.089,442.616,441.29
219,140915.8,264.272,442.358,441.191
220,148050.8,264.527,441.673,441.106
221,155545.8,264.392,441.596,441.012
222,163420.8,264.252,442.456,440.927
223,171695.8,264.078,442.19,440.847
224,180388.3,263.593,442.568,440.759
225,189520.8,263.884,441.891,440.713
226,199115.8,264.02,441.41,440.665
227,209195.8,263.914,441.297,440.611
