DateTime:        , 2022/01/06, 13:40:52,1.64149E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-108.87,,,,,
PARs:,0,0,0,0,0,0
Light:,80,0,0,0,0,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #10000,,,,,
Gain:,25,5, ,,,
Sio:,499.14,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,89.157,,
1,0.8,180.027,90.725,91.265,,
2,3.3,180.357,91.628,91.914,,
3,5.8,180.541,92.527,92.75,,
4,8.3,180.541,93.834,93.739,,
5,10.8,180.688,95.042,94.853,,
6,13.3,180.762,96.353,96.068,,
7,15.8,180.688,97.964,97.364,,
8,18.3,180.762,99.053,98.725,,
9,20.8,180.872,100.342,100.138,,
10,23.3,181.056,101.83,101.59,,
11,25.8,180.909,103.196,103.072,,
12,28.3,180.872,104.942,104.575,,
13,30.8,181.056,105.785,106.092,,
14,33.3,181.276,107.422,107.619,,
15,35.8,181.092,109.121,109.149,,
16,38.3,181.166,110.644,110.679,,
17,40.8,181.35,111.878,112.204,,
18,43.3,181.129,113.582,113.722,,
19,45.8,181.423,114.831,115.231,,
20,48.3,181.092,116.587,116.727,,
21,50.8,181.386,117.743,118.209,,
22,53.3,181.129,119.324,119.675,,
23,55.8,181.166,120.867,121.124,,
24,58.3,181.276,122.073,122.554,,
25,60.8,181.166,123.737,123.964,,
26,63.3,181.166,125.15,125.354,,
27,65.8,181.166,126.608,126.722,,
28,68.3,181.239,127.858,128.068,,
29,70.8,181.386,129.232,129.391,,
30,73.3,181.423,130.595,130.691,,
31,75.8,181.533,131.794,131.968,,
32,78.3,181.35,133.251,133.221,,
33,80.8,181.423,134.564,134.45,,
34,83.3,181.313,135.881,135.654,,
35,85.8,181.386,136.929,136.833,,
36,88.3,181.423,138.003,137.987,,
37,90.8,181.423,139.194,139.116,,
38,93.3,181.46,140.4,140.22,,
39,95.8,181.35,141.324,141.298,,
40,98.3,181.386,142.375,142.352,,
41,100.8,181.46,143.508,143.38,,
42,103.3,181.497,144.559,144.383,,
43,105.8,181.497,145.661,145.361,,
44,108.3,181.239,146.706,146.315,,
45,110.8,181.386,147.448,147.243,,
46,113.3,181.46,148.446,148.147,,
47,115.8,181.497,149.143,149.027,,
48,118.3,181.533,150.016,149.882,,
49,120.8,181.423,150.989,150.714,,
50,123.3,181.423,151.915,151.522,,
51,125.8,181.423,152.555,152.307,,
52,128.3,181.607,152.731,153.069,,
53,130.8,181.239,154.012,153.808,,
54,133.3,181.607,154.493,154.525,,
55,135.8,181.46,155.191,155.219,,
56,138.3,181.533,155.547,155.892,,
57,140.8,181.386,156.732,156.544,,
58,143.3,181.57,157.058,157.174,,
59,145.8,181.533,157.75,157.784,,
60,148.3,181.533,158.456,158.374,,
61,150.8,181.46,158.961,158.944,,
62,153.3,181.423,159.434,159.495,,
63,155.8,181.497,159.832,160.027,,
64,158.3,181.533,160.328,160.54,,
65,160.8,181.644,160.914,161.034,,
66,163.3,181.68,161.498,161.511,,
67,165.8,181.497,161.926,161.97,,
68,168.3,181.644,162.301,162.413,,
69,170.8,181.533,162.664,162.839,,
70,173.3,181.46,163.369,163.249,,
71,175.8,181.35,163.579,163.643,,
72,178.3,181.607,163.656,164.022,,
73,180.8,181.497,164.262,164.385,,
74,183.3,181.68,164.448,164.733,,
75,185.8,181.644,164.988,165.068,,
76,188.3,181.533,165.11,165.389,,
77,190.8,181.497,165.805,165.696,,
78,193.3,181.607,165.616,165.991,,
79,195.8,181.57,165.936,166.272,,
80,198.3,181.386,166.192,166.542,,
81,200.8,181.754,166.406,166.798,,
82,203.3,181.497,166.907,167.044,,
83,205.8,181.68,167.134,167.278,,
84,208.3,181.57,167.39,167.502,,
85,210.8,181.644,167.674,167.714,,
86,213.3,181.497,167.524,167.917,,
87,215.8,181.57,167.94,168.109,,
88,218.3,181.423,168.275,168.293,,
89,220.8,181.423,168.385,168.467,,
90,223.3,181.497,168.758,168.631,,
91,225.8,181.423,168.914,168.787,,
92,228.3,181.607,168.81,168.933,,
93,230.8,181.57,169.152,169.072,,
94,233.3,181.423,169.201,169.203,,
95,235.8,181.533,169.341,169.326,,
96,238.3,181.533,169.473,169.442,,
97,240.8,181.607,169.757,169.55,,
98,243.3,181.533,170.002,169.652,,
99,245.8,181.423,170.149,169.748,,
100,250.8,181.056,171.135,170.518,,
101,273.3,180.504,170.838,171.287,,
