----,,,,,,
DateTime:        , 2022/01/06, 14:38:46,1.64149E+12,,,
RFID_EPC:        ,--Not Acquired--,,,,,
RFID_UserData:   ,--Not Acquired--,,,,,
Barcode:         ,--Not Acquired--,,,,,
PIF:,-297.09,,,,,
PARs:,0,0,0,0,0,0
Light:,0,0,0,0,0,0
Cycles:,1,,,,,
1,99,100,227,,,
Lamps:,        #00001,,,,,
Gain:,10,5, ,,,
Sio:,213.05,,,,,
Position:,0,0,   NoData,,,
DataPt,      Time(us),   EX,         EM,       Fit,,
==========,==========,==========,==========,=========,,
0,0,0,0,491.682,,
1,0.8,90.811,521.432,516.192,,
2,3.3,91.187,536.587,533.697,,
3,5.8,90.359,551.817,552.239,,
4,8.3,89.606,569.957,571.282,,
5,10.8,89.38,586.278,590.474,,
6,13.3,89.004,604.6,609.505,,
7,15.8,89.23,620.888,628.203,,
8,18.3,88.402,643.56,646.346,,
9,20.8,88.251,659.616,663.86,,
10,23.3,87.649,679.095,680.658,,
11,25.8,86.971,698.183,696.695,,
12,28.3,86.82,714.368,711.961,,
13,30.8,86.82,727.383,726.458,,
14,33.3,86.67,741.108,740.196,,
15,35.8,86.218,756.125,753.194,,
16,38.3,85.917,768.669,765.468,,
17,40.8,85.54,781.638,777.044,,
18,43.3,85.465,790.985,787.94,,
19,45.8,84.863,804.73,798.211,,
20,48.3,84.712,811.945,807.86,,
21,50.8,84.712,818.673,816.914,,
22,53.3,84.11,829.53,825.444,,
23,55.8,83.884,838.081,833.449,,
24,58.3,83.884,842.492,840.944,,
25,60.8,83.809,847.545,847.97,,
26,63.3,83.508,854.673,854.574,,
27,65.8,83.206,860.651,860.778,,
28,68.3,83.131,865.039,866.585,,
29,70.8,82.755,871.511,872.049,,
30,73.3,82.529,876.441,877.174,,
31,75.8,82.454,880.152,881.965,,
32,78.3,82.454,882.457,886.441,,
33,80.8,81.776,891.481,890.693,,
34,83.3,81.851,892.493,894.646,,
35,85.8,81.701,895.607,898.349,,
36,88.3,81.55,898.487,901.821,,
37,90.8,81.324,902.581,905.084,,
38,93.3,80.797,908.592,908.185,,
39,95.8,80.797,909.582,911.066,,
40,98.3,80.571,913.994,913.773,,
41,100.8,80.421,914.835,916.307,,
42,103.3,80.27,916.925,918.682,,
43,105.8,80.195,918.659,920.898,,
44,108.3,79.818,924.745,923.008,,
45,110.8,79.969,922.629,924.945,,
46,113.3,80.044,921.636,926.738,,
47,115.8,79.668,925.866,928.461,,
48,118.3,79.668,926.242,930.06,,
49,120.8,79.593,926.741,931.559,,
50,123.3,79.141,932.284,933.013,,
51,125.8,78.99,934.315,934.377,,
52,128.3,78.84,934.577,935.657,,
53,130.8,79.065,932.413,936.809,,
54,133.3,78.689,936.747,937.932,,
55,135.8,78.614,936.753,938.979,,
56,138.3,78.237,940.494,940,,
57,140.8,78.237,940.11,940.936,,
58,143.3,78.162,941.911,941.809,,
59,145.8,78.162,939.992,942.614,,
60,148.3,77.71,945.971,943.422,,
61,150.8,78.087,939.618,944.106,,
62,153.3,77.71,944.427,944.796,,
63,155.8,77.484,945.244,945.462,,
64,158.3,77.334,947.602,946.091,,
65,160.8,77.033,949.489,946.707,,
66,163.3,77.334,945.792,947.222,,
67,165.8,76.957,949.119,947.75,,
68,168.3,77.108,946.876,948.209,,
69,170.8,76.656,950.63,948.696,,
70,173.3,77.033,945.855,949.08,,
71,175.8,76.656,949.195,949.491,,
72,178.3,76.581,950.128,949.875,,
73,180.8,76.355,951.498,950.256,,
74,183.3,76.204,951.541,950.62,,
75,185.8,76.204,951.279,950.946,,
76,188.3,75.753,955.104,951.305,,
77,190.8,75.677,956.186,951.633,,
78,193.3,76.129,949.067,951.855,,
79,195.8,75.602,954.096,952.139,,
80,198.3,75.677,952.09,952.379,,
81,200.8,75.075,959.462,952.683,,
82,203.3,75.301,954.99,952.911,,
83,205.8,75.226,955.148,953.123,,
84,208.3,75,956.825,953.345,,
85,210.8,75,956.292,953.538,,
86,213.3,75,954.825,953.708,,
87,215.8,74.849,955.143,953.88,,
88,218.3,75,952.558,954.01,,
89,220.8,74.548,956.855,954.194,,
90,223.3,74.774,953.697,954.318,,
91,225.8,74.473,955.137,954.473,,
92,228.3,74.623,952.539,954.584,,
93,230.8,74.322,955.323,954.727,,
94,233.3,74.021,958.129,954.893,,
95,235.8,73.946,957.752,955.042,,
96,238.3,73.946,956.4,955.167,,
97,240.8,73.795,956.59,955.294,,
98,243.3,73.795,956.183,955.4,,
99,245.8,73.343,960.982,955.557,,
100,250.8,74.473,961.448,963.739,,
101,273.3,76.129,981.643,982.249,,
